time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-13 00:00:00+00:00,1125,517,6232,2941
2025-03-14 00:00:00+00:00,1314,446,5818,2895
2025-03-15 00:00:00+00:00,437,258,3526,1697
2025-03-16 00:00:00+00:00,584,290,3626,1725
2025-03-17 00:00:00+00:00,1008,445,5198,2791
2025-03-18 00:00:00+00:00,1181,397,5620,2787
2025-03-19 00:00:00+00:00,1993,446,5258,2685
2025-03-20 00:00:00+00:00,1483,478,4663,2477
2025-03-21 00:00:00+00:00,923,372,4528,2477
2025-03-22 00:00:00+00:00,446,242,3105,1566
2025-03-23 00:00:00+00:00,604,249,3154,1630
2025-03-24 00:00:00+00:00,1847,476,5869,3040
2025-03-25 00:00:00+00:00,1379,417,5552,2749
2025-03-26 00:00:00+00:00,921,337,4317,2385
