time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-06 00:00:00+00:00,1932,650,1702,966
2026-06-07 00:00:00+00:00,1337,397,1891,892
2026-06-08 00:00:00+00:00,3413,710,1910,1073
2026-06-09 00:00:00+00:00,1760,616,1745,1059
2026-06-10 00:00:00+00:00,2284,643,1468,921
2026-06-11 00:00:00+00:00,2683,744,1799,1090
2026-06-12 00:00:00+00:00,2431,749,1966,1143
2026-06-13 00:00:00+00:00,1052,402,1715,982
2026-06-14 00:00:00+00:00,2292,676,1620,819
2026-06-15 00:00:00+00:00,5157,1043,1616,939
2026-06-16 00:00:00+00:00,7350,638,1193,757
2026-06-17 00:00:00+00:00,9540,638,1975,1069
2026-06-18 00:00:00+00:00,5628,866,1868,1044
2026-06-19 00:00:00+00:00,7123,795,1937,1048
