time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-10 00:00:00+00:00,1709,504,5630,2737
2025-02-11 00:00:00+00:00,752,339,5551,2703
2025-02-12 00:00:00+00:00,1624,406,5262,2688
2025-02-13 00:00:00+00:00,1191,438,5519,2601
2025-02-14 00:00:00+00:00,1394,370,4832,2398
2025-02-15 00:00:00+00:00,444,243,3525,1741
2025-02-16 00:00:00+00:00,425,263,3325,1709
2025-02-17 00:00:00+00:00,851,397,5428,2619
2025-02-18 00:00:00+00:00,930,376,5819,2811
2025-02-19 00:00:00+00:00,1356,383,5219,2569
2025-02-20 00:00:00+00:00,1233,415,5381,2507
2025-02-21 00:00:00+00:00,904,392,4705,2394
2025-02-22 00:00:00+00:00,607,299,3341,1663
2025-02-23 00:00:00+00:00,533,260,3558,1575
