time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-03 00:00:00+00:00,136,77,3068,1348
2024-11-04 00:00:00+00:00,376,120,4861,2347
2024-11-05 00:00:00+00:00,411,90,5279,2467
2024-11-06 00:00:00+00:00,194,66,4739,2279
2024-11-07 00:00:00+00:00,319,110,5136,2350
2024-11-08 00:00:00+00:00,525,77,5468,2322
2024-11-09 00:00:00+00:00,198,73,3120,1372
2024-11-10 00:00:00+00:00,154,66,3355,1470
2024-11-11 00:00:00+00:00,653,116,4775,2437
2024-11-12 00:00:00+00:00,304,74,5076,2497
2024-11-13 00:00:00+00:00,452,78,5169,2391
2024-11-14 00:00:00+00:00,676,103,5390,2440
2024-11-15 00:00:00+00:00,830,62,4804,2192
2024-11-16 00:00:00+00:00,68,46,2857,1304
