time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-14 00:00:00+00:00,709,339,6467,2528
2024-06-15 00:00:00+00:00,77,52,4061,1401
2024-06-16 00:00:00+00:00,121,78,3823,1445
2024-06-17 00:00:00+00:00,339,224,7160,2608
2024-06-18 00:00:00+00:00,691,453,7361,2608
2024-06-19 00:00:00+00:00,925,362,7673,2583
2024-06-20 00:00:00+00:00,808,567,7615,2562
2024-06-21 00:00:00+00:00,666,296,6159,2228
2024-06-22 00:00:00+00:00,182,141,3889,1395
2024-06-23 00:00:00+00:00,162,125,4339,1399
2024-06-24 00:00:00+00:00,455,211,7245,2460
2024-06-25 00:00:00+00:00,472,88,7375,2517
2024-06-26 00:00:00+00:00,372,81,7970,2605
2024-06-27 00:00:00+00:00,731,149,8218,2420
