time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-26 00:00:00+00:00,4978,654,2233,1115
2026-05-27 00:00:00+00:00,5121,668,2369,1136
2026-05-28 00:00:00+00:00,6237,1196,2724,1200
2026-05-29 00:00:00+00:00,6929,624,2896,1266
2026-05-30 00:00:00+00:00,1391,420,2148,1014
2026-05-31 00:00:00+00:00,3985,583,1833,1028
2026-06-01 00:00:00+00:00,3282,709,1716,1023
2026-06-02 00:00:00+00:00,2106,560,1392,837
2026-06-03 00:00:00+00:00,6946,850,1602,931
2026-06-04 00:00:00+00:00,6409,713,1471,966
2026-06-05 00:00:00+00:00,5823,678,2301,1305
2026-06-06 00:00:00+00:00,1932,650,1702,966
2026-06-07 00:00:00+00:00,1337,397,1891,892
2026-06-08 00:00:00+00:00,3413,710,1910,1073
