time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-07 00:00:00+00:00,829,687,9347,2859
2024-02-08 00:00:00+00:00,1276,1025,7690,2787
2024-02-09 00:00:00+00:00,775,633,6992,2424
2024-02-10 00:00:00+00:00,714,577,5147,1632
2024-02-11 00:00:00+00:00,749,591,5400,1746
2024-02-12 00:00:00+00:00,1428,994,6903,2394
2024-02-13 00:00:00+00:00,1156,735,9067,2681
2024-02-14 00:00:00+00:00,1253,779,7773,2737
2024-02-15 00:00:00+00:00,1533,1039,8159,2630
2024-02-16 00:00:00+00:00,1376,795,7859,2594
2024-02-17 00:00:00+00:00,1397,805,6453,1963
2024-02-18 00:00:00+00:00,998,728,8234,2344
2024-02-19 00:00:00+00:00,1595,1169,10508,3460
2024-02-20 00:00:00+00:00,1367,808,10217,3417
