time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-05 00:00:00+00:00,8625,521,3035,1707
2026-02-06 00:00:00+00:00,6694,474,3293,1735
2026-02-07 00:00:00+00:00,1269,223,2146,1138
2026-02-08 00:00:00+00:00,3465,291,2015,1182
2026-02-09 00:00:00+00:00,9542,613,3203,1801
2026-02-10 00:00:00+00:00,6609,537,3415,1744
2026-02-11 00:00:00+00:00,6522,533,3796,1993
2026-02-12 00:00:00+00:00,7199,678,3995,1860
2026-02-13 00:00:00+00:00,8035,572,2048,1203
2026-02-14 00:00:00+00:00,1510,284,2334,1307
2026-02-15 00:00:00+00:00,1361,232,1866,1126
2026-02-16 00:00:00+00:00,5326,460,1995,1161
2026-02-17 00:00:00+00:00,6244,456,3209,1516
2026-02-18 00:00:00+00:00,4010,341,3050,1444
