time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-02 00:00:00+00:00,350,227,3408,1541
2025-02-03 00:00:00+00:00,1527,476,4946,2264
2025-02-04 00:00:00+00:00,1550,374,4953,2497
2025-02-05 00:00:00+00:00,1855,376,5526,2566
2025-02-06 00:00:00+00:00,1151,403,6559,2730
2025-02-07 00:00:00+00:00,1078,323,4775,2430
2025-02-08 00:00:00+00:00,588,308,3984,1859
2025-02-09 00:00:00+00:00,537,282,3500,1681
2025-02-10 00:00:00+00:00,1709,504,5630,2737
2025-02-11 00:00:00+00:00,752,339,5551,2703
2025-02-12 00:00:00+00:00,1624,406,5262,2688
2025-02-13 00:00:00+00:00,1191,438,5519,2601
2025-02-14 00:00:00+00:00,1394,370,4832,2398
2025-02-15 00:00:00+00:00,421,227,3291,1625
