time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-21 00:00:00+00:00,923,372,4528,2477
2025-03-22 00:00:00+00:00,446,242,3105,1566
2025-03-23 00:00:00+00:00,604,249,3154,1630
2025-03-24 00:00:00+00:00,1847,476,5869,3040
2025-03-25 00:00:00+00:00,1379,417,5552,2749
2025-03-26 00:00:00+00:00,970,369,4602,2473
2025-03-27 00:00:00+00:00,860,411,4720,2427
2025-03-28 00:00:00+00:00,1237,393,4715,2378
2025-03-29 00:00:00+00:00,431,232,2839,1423
2025-03-30 00:00:00+00:00,352,202,2982,1427
2025-03-31 00:00:00+00:00,1127,377,4880,2297
2025-04-01 00:00:00+00:00,1177,388,4516,2300
2025-04-02 00:00:00+00:00,1491,383,4824,2407
2025-04-03 00:00:00+00:00,2283,482,4621,2264
