time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-29 00:00:00+00:00,569,247,2775,1428
2025-12-30 00:00:00+00:00,1043,278,2807,1446
2025-12-31 00:00:00+00:00,756,239,2192,1203
2026-01-01 00:00:00+00:00,352,194,1766,906
2026-01-02 00:00:00+00:00,485,170,1956,990
2026-01-03 00:00:00+00:00,477,175,1700,979
2026-01-04 00:00:00+00:00,621,212,2430,1374
2026-01-05 00:00:00+00:00,1997,401,2969,1584
2026-01-06 00:00:00+00:00,3753,386,2684,1446
2026-01-07 00:00:00+00:00,5712,363,3372,1668
2026-01-08 00:00:00+00:00,5000,429,3248,1608
2026-01-09 00:00:00+00:00,8108,457,2796,1526
2026-01-10 00:00:00+00:00,3185,168,2437,1507
2026-01-11 00:00:00+00:00,757,198,1636,942
