time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-31 00:00:00+00:00,412,87,7987,2594
2024-08-01 00:00:00+00:00,715,133,7135,2378
2024-08-02 00:00:00+00:00,1257,83,6083,2312
2024-08-03 00:00:00+00:00,82,65,4409,1399
2024-08-04 00:00:00+00:00,151,76,3826,1455
2024-08-05 00:00:00+00:00,990,118,7335,2353
2024-08-06 00:00:00+00:00,495,80,6557,2555
2024-08-07 00:00:00+00:00,336,76,6100,2417
2024-08-08 00:00:00+00:00,1012,127,6651,2545
2024-08-09 00:00:00+00:00,323,86,5597,2076
2024-08-10 00:00:00+00:00,80,65,3108,1153
2024-08-11 00:00:00+00:00,73,51,3288,1271
2024-08-12 00:00:00+00:00,172,131,5592,2297
2024-08-13 00:00:00+00:00,366,92,5936,2135
