time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-08 00:00:00+00:00,1069,911,8416,2895
2024-03-09 00:00:00+00:00,1074,838,6085,2019
2024-03-10 00:00:00+00:00,1005,802,6041,1922
2024-03-11 00:00:00+00:00,1776,1337,10002,3537
2024-03-12 00:00:00+00:00,1215,922,10183,3659
2024-03-13 00:00:00+00:00,1161,915,12377,3933
2024-03-14 00:00:00+00:00,1921,1476,13558,4451
2024-03-15 00:00:00+00:00,1351,1030,12669,4282
2024-03-16 00:00:00+00:00,1067,839,7656,2260
2024-03-17 00:00:00+00:00,1063,865,8371,2375
2024-03-18 00:00:00+00:00,1921,1457,11863,3726
2024-03-19 00:00:00+00:00,1053,935,11040,3827
2024-03-20 00:00:00+00:00,1937,1136,11637,3744
2024-03-21 00:00:00+00:00,2034,1455,10763,3509
